id,"name","img_url","reason","features","created_at","updated_at"

1,"シベリアンハスキー","SiberianHusky","毎日長距離を走りたい大型犬を求めたため、シベリアンハスキーが適しています。","シベリアンハスキーは活発で独立心が強く、運動量が多い犬種です。",2024-9-20 00:00:00,2024-9-20 

2,"ボーダーコリー","BorderCollie","毎日長距離を走りたい中型犬を求めたため、ボーダーコリーが適しています。","ボーダーコリーは知能が高く、運動量も豊富で、トレーニングしやすい犬種です。",2024-9-20 00:00:00,2024-9-20 

3,"ジャックラッセルテリア","JackRussellTerrier","毎日長距離を走りたい小型犬を求めたため、ジャックラッセルテリアが適しています。","ジャックラッセルテリアは非常にエネルギッシュで、活発な犬種です。",2024-9-20 00:00:00,2024-9-20 

4,"柴犬","Shiba","忠実で守護本能が強い性格の中型犬を求めたため、柴犬が最適です。","柴犬は独立心が強く、忠実で番犬としても優秀です。",2024-9-20 00:00:00,2024-9-20 

5,"バセンジー","Basenji","毎日長距離を走りたい小型犬を求めたため、ジャックラッセルテリアが適しています。","ジャックラッセルテリアは非常にエネルギッシュで、活発な犬種です。",2024-9-20 00:00:00,2024-9-20 
6,"トイ・プードル","ToyPoodle","賢くてトレーニングしやすい小型犬を求めたため、トイ・プードルが最適です。","トイ・プードルは非常に賢く、愛らしい犬種で、トレーニングが容易です。",2024-9-20 00:00:00,2024-9-20 

7,"フレンチブルドッグ","FrenchBulldog","静かで落ち着いている小型犬を求めたため、フレンチブルドッグが適しています。","フレンチブルドッグは静かで手入れが簡単な犬種です。",2024-9-20 00:00:00,2024-9-20 

8,"ポメラニアン","Pomeranian","多少鳴いても問題なく、活発で小型の犬を求めたため、ポメラニアンが適しています。","ポメラニアンは小型で、遊び好きでエネルギッシュですが、鳴き声が多い場合もあります。",2024-9-20 00:00:00,2024-9-20 

9,"チワワ","Chihuahua","多少の鳴き声を気にしつつも、守護的で愛情深い小型犬を求めたため、チワワが最適です。","チワワは小型ながら、飼い主に対して強い愛情と守護心を持ち、警戒心が高いです。",2024-9-20 00:00:00,2024-9-20 

10,"ミニチュア・シュナウザー","MiniatureSchnauzer","毎日のブラッシングが必要な中型犬を求めたため、ミニチュア・シュナウザーが最適です。","ミニチュア・シュナウザーは賢く、遊び好きであり、ブラッシングが必要な犬種です。",2024-9-20 00:00:00,2024-9-20 

11,"ゴールデンレトリバー","GoldenRetriever","週に数回の手入れができる大型犬を求めたため、ゴールデンレトリバーが適しています。","ゴールデンレトリバーはフレンドリーで、トレーニングしやすく、家庭に向いています。",2024-9-20 00:00:00,2024-9-20 

12,"ボーダーコリー","BorderCollie","高い運動量が必要な大型犬を求めたため、ボーダーコリーが最適です。","ボーダーコリーは非常に活発で、知的な犬種です。",2024-9-20 00:00:00,2024-9-20 

13,"ゴールデンレトリバー","GoldenRetriever","ほどほどの運動量で済む大型犬を求めたため、ゴールデンレトリバーが適しています。","ゴールデンレトリバーは家庭向きで、フレンドリーな性格を持っています。",2024-9-20 00:00:00,2024-9-20 

14,"ドーベルマン","Doberman","自立しつつ忠誠心の高い犬種を求めたため、ドーベルマンが適しています。","ドーベルマンは警戒心が強く、家庭に対して非常に忠実です。",2024-9-20 00:00:00,2024-9-20 

15,"アフガンハウンド","AfghanHound","自立していて忠誠心よりも独立した性格の犬を求めたため、アフガンハウンドが適しています。","アフガンハウンドは高貴な姿と独立した性格が特徴の犬種です。",2024-9-20 00:00:00,2024-9-20 

16,"ラブラドールレトリバー","LabradorRetriever","子供や他のペットとの相性が良く、社交的な犬を求めたため、ラブラドールレトリバーが最適です。","ラブラドールレトリバーはフレンドリーで、家庭向きの性格を持つ大型犬です。",2024-9-20 00:00:00,2024-9-20 

17,"チャウチャウ","ChowChow","子供や他のペットにあまり興味を示さない独立心の強い犬種を求めたため、チャウチャウが適しています。","チャウチャウは独立心が強く、マイペースな性格が特徴です。",2024-9-20 00:00:00,2024-9-20 

18,"マルプー","MultiPoodle","愛らしく忠誠心が高い小型犬を求め、とてもラッキーなあなたはマルプーが適しています。","マルプーはトイプードルとマルチーズのミックスで、社交的で甘えん坊な性格が特徴です。また、抜け毛が少なく飼いやすい犬種です。",2024-9-20 00:00:00,2024-9-20 



