id,"question_text","created_at","updated_at"
1," あなたの理想のペットとの生活スタイルはどんな感じですか？ ",2024-9-20 00:00:00,2024-9-20 00:00:00
2," どのくらいの運動量を求めますか？ ",2024-9-20 00:00:00,2024-9-20 00:00:00
3," 犬のサイズは？ ",2024-9-20 00:00:00,2024-9-20 00:00:00
4," 犬に求める性格は？ ",2024-9-20 00:00:00,2024-9-20 00:00:00
5," 犬のサイズは？ ",2024-9-20 00:00:00,2024-9-20 00:00:00
6," 鳴き声は気になりますか？ ",2024-9-20 00:00:00,2024-9-20 00:00:00
7,"毛の手入れにどのくらいの時間をかけられますか？",2024-9-20 00:00:00,2024-9-20 00:00:00
8,"運動量はどれくらい必要ですか？",2024-9-20 00:00:00,2024-9-20 00:00:00
9,"犬は自立していて欲しいですか？",2024-9-20 00:00:00,2024-9-20 00:00:00
10,"飼い主に対する忠誠心が強い犬がいいですか？",2024-9-20 00:00:00,2024-9-20 00:00:00
11,"子供や他のペットと仲良くできる犬がいいですか？",2024-9-20 00:00:00,2024-9-20 00:00:00
