id,next_text_id,"choice",parent_id,question_set_id,asc_order,"created_at","updated_at"

1,1,"最初の質問",0,0,0,2024-9-20 00:00:00,2024-9-20 00:00:00

2,2,"アクティブに散歩や運動を楽しみたい",1,0,0,2024-9-20 00:00:00,2024-9-20 00:00:00
3,5,"家で一緒にリラックスして過ごしたい",1,0,0,2024-9-20 00:00:00,2024-9-20 00:00:00
4,9,"仕事や家事をしながら落ち着いた関係を築きたい",1,0,0,2024-9-20 00:00:00,2024-9-20 00:00:00

5,3,"毎日長距離を走りたい",2,0,0,2024-9-20 00:00:00,2024-9-20 00:00:00
6,4,"週数回の運動で十分",2,0,0,2024-9-20 00:00:00,2024-9-20 00:00:00
7,5,"短い散歩や軽い運動が好き",2,0,0,2024-9-20 00:00:00,2024-9-20 00:00:00

8,0,"大型犬",3,1,0,2024-9-20 00:00:00,2024-9-20 00:00:00
9,0,"中型犬",3,2,0,2024-9-20 00:00:00,2024-9-20 00:00:00
10,0,"小型犬",3,3,0,2024-9-20 00:00:00,2024-9-20 00:00:00

11,0,"忠実で守護本能が強い",4,4,0,2024-9-20 00:00:00,2024-9-20 00:00:00
12,0,"自由で自己主張が強い",4,5,0,2024-9-20 00:00:00,2024-9-20 00:00:00
13,0,"賢くてトレーニングがしやすい",4,6,0,2024-9-20 00:00:00,2024-9-20 00:00:00

14,6,"小型犬",5,0,0,2024-9-20 00:00:00,2024-9-20 00:00:00
15,7,"中型犬",5,0,0,2024-9-20 00:00:00,2024-9-20 00:00:00
16,8,"大型犬",5,0,0,2024-9-20 00:00:00,2024-9-20 00:00:00

17,0,"静かで落ち着いている犬が良い",6,7,0,2024-9-20 00:00:00,2024-9-20 00:00:00
18,0,"多少鳴いても問題ない",6,8,0,2024-9-20 00:00:00,2024-9-20 00:00:00
19,0,"多少気になるが、守護的な性格が良い",6,9,0,2024-9-20 00:00:00,2024-9-20 00:00:00

20,0,"毎日のブラッシングができる",7,10,0,2024-9-20 00:00:00,2024-9-20 00:00:00
21,0,"週に数回程度",7,11,0,2024-9-20 00:00:00,2024-9-20 00:00:00

22,0,"高い運動量が必要",8,12,0,2024-9-20 00:00:00,2024-9-20 00:00:00
23,0,"ほどほどの運動で十分",8,13,0,2024-9-20 00:00:00,2024-9-20 00:00:00

24,10,"はい",9,0,0,2024-9-20 00:00:00,2024-9-20 00:00:00
25,11,"いいえ",9,0,0,2024-9-20 00:00:00,2024-9-20 00:00:00

26,0,"はい",10,14,0,2024-9-20 00:00:00,2024-9-20 00:00:00
27,0,"いいえ",10,15,0,2024-9-20 00:00:00,2024-9-20 00:00:00

28,0,"はい",11,16,0,2024-9-20 00:00:00,2024-9-20 00:00:00
29,0,"いいえ",11,17,0,2024-9-20 00:00:00,2024-9-20 00:00:00
