id,"name","data_id","address","tag","price","time","off","tel",lat,lng,"url","service_1","service_2","service_3",created_at,updated_at

1,"花陰（ハナカゲ）","hanakage","山口県山口市下小鯖3533-5","yamaguchi","500円","10：00～17：00","木曜日","083-941-1263",34.111959,131.535155,"http://hana-kage.com/", "cafe","indoor","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

2,"西京の森どうぶつ病院","saikyou","山口県山口市大内問田5丁目4-7", "yamaguchi", "660円", "7:00～10:30 14:00～18:00","日・祝日","083-995-0700",34.150295,131.488309,"https://saikyo-ah.jp/dog-run/","","","kasikiri", 2024-9-20 00:00:00, 2024-9-20 00:00:00

3,"TOTOMATO","totomato","山口市阿知須 山口きらら博記念公園内","yamaguchi","平日:600円 土日祝:800円","10:00～19:00","年中無休","0836-66-0101",34.00495,131.372164,"https://totomato.com/", "cafe","","kasikiri",2024-9-20 00:00:00, 2024-9-20 00:00:00

4,"セルフウォッシュ&ドッグラン J’s","Js","山口県山口市徳地伊賀地441-3","yamaguchi", "500円","（平日）15:00～20:00（土日祝）9:00～20:00","火曜日・雨天時","090-3378-1009",34.177756,131.649229,"https://fu-town.jimdofree.com/","","","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

5,"空港通りペットホテル＆ヘルスケア","kuukou","山口県宇部市亀浦5-2-11","ubeonoda","300円/30分","8：30～日没30分前","木","0836-39-5553",33.992654,132.20377,"https://sky-petcare.jp/free/dogrun","","","kasikiri", 2024-9-20 00:00:00, 2024-9-20 00:00:00

6,"ドッグラン宇部お寺","otera","山口県宇部市棚井558","ubeonoda","500円","10：00～17：00","月・水・金","0836-41-6883",34.019699,131.241967,"https://oteranoniwa.jp/","","","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

7,"鹿野ＳＡ上り(中国自動車道)ドッグラン","kanoSA","山口県周南市大字鹿野中字原1664-1","syuunan","無料","","","0834-68-3833",34.220599,131.795159,"https://www.w-holdings.co.jp/sapa/2165.html", "","","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

